Frame #n: Right shoulder (Point 2), Right elbow (Point 3), Left shoulder (Point 5), Left elbow (Point 6) 
50: (104, 422), (83, 594), (344, 406), (354, 594) 
51: (104, 406), (83, 594), (333, 406), (354, 594) 
52: (104, 406), (83, 594), (333, 406), (365, 594) 
53: (104, 406), (83, 594), (344, 406), (365, 594) 
54: (104, 406), (83, 594), (344, 406), (365, 594) 
55: (104, 406), (83, 594), (344, 406), (365, 594) 
56: (104, 406), (83, 594), (344, 406), (365, 594) 
57: (104, 406), (83, 594), (344, 406), (365, 594) 
58: (104, 406), (83, 594), (344, 406), (365, 594) 
59: (104, 406), (83, 594), (344, 406), (365, 594) 
60: (104, 406), (83, 594), (344, 406), (365, 594) 
61: (104, 406), (83, 579), (344, 406), (365, 594) 
62: (104, 406), (83, 579), (344, 406), (365, 594) 
63: (104, 406), (83, 579), (344, 406), (365, 610) 
64: (104, 406), (83, 579), (344, 406), (365, 610) 
65: (104, 406), (83, 579), (344, 406), (365, 610) 
66: (104, 406), (83, 579), (344, 406), (365, 610) 
67: (104, 406), (83, 579), (344, 406), (365, 610) 
68: (104, 406), (83, 579), (344, 406), (365, 610) 
69: (104, 406), (83, 579), (344, 406), (365, 610) 
70: (114, 406), (83, 579), (344, 406), (365, 610) 
71: (114, 406), (93, 579), (344, 406), (365, 610) 
72: (114, 406), (93, 579), (354, 406), (365, 610) 
73: (125, 406), (93, 579), (365, 422), (375, 610) 
74: (125, 406), (93, 579), (365, 422), (375, 626) 
75: (125, 406), (104, 579), (365, 422), (375, 626) 
76: (125, 406), (104, 579), (365, 422), (386, 626) 
77: (135, 406), (104, 579), (365, 422), (386, 626) 
78: (135, 406), (104, 579), (365, 422), (386, 626) 
79: (135, 406), (104, 579), (365, 422), (386, 626) 
80: (135, 406), (104, 579), (375, 422), (386, 626) 
81: (135, 406), (114, 579), (375, 422), (386, 626) 
82: (135, 406), (104, 579), (375, 422), (386, 626) 
83: (135, 406), (104, 579), (375, 422), (386, 626) 
84: (135, 406), (104, 579), (375, 422), (386, 626) 
85: (135, 406), (104, 579), (365, 422), (386, 626) 
86: (125, 406), (104, 579), (365, 422), (386, 626) 
87: (125, 406), (93, 579), (365, 422), (375, 626) 
88: (125, 406), (93, 579), (365, 422), (375, 641) 
89: (114, 406), (93, 579), (354, 422), (375, 641) 
90: (114, 406), (93, 579), (354, 422), (365, 641) 
91: (114, 406), (83, 579), (354, 422), (365, 641) 
92: (114, 406), (83, 579), (354, 422), (365, 641) 
93: (114, 406), (83, 579), (354, 422), (365, 641) 
94: (114, 406), (83, 579), (354, 422), (365, 641) 
95: (114, 406), (83, 579), (354, 422), (365, 641) 
96: (114, 406), (83, 579), (354, 422), (365, 641) 
97: (114, 406), (83, 579), (344, 422), (365, 641) 
98: (114, 406), (83, 579), (354, 422), (365, 641) 
99: (114, 406), (83, 579), (354, 422), (354, 641) 
100: (114, 406), (83, 579), (354, 422), (354, 626) 
101: (114, 406), (83, 579), (344, 422), (354, 641) 
102: (114, 406), (83, 563), (354, 422), (354, 641) 
103: (114, 406), (83, 563), (354, 422), (354, 641) 
104: (114, 406), (93, 563), (354, 422), (354, 641) 
105: (114, 406), (83, 563), (354, 422), (365, 641) 
106: (114, 406), (93, 563), (354, 422), (365, 641) 
107: (114, 406), (93, 563), (354, 422), (365, 641) 
108: (114, 391), (93, 563), (354, 422), (365, 626) 
109: (114, 406), (93, 563), (354, 422), (365, 626) 
110: (125, 406), (93, 563), (354, 422), (365, 626) 
111: (125, 406), (104, 563), (354, 422), (365, 626) 
112: (125, 391), (104, 563), (365, 422), (375, 626) 
113: (125, 406), (104, 563), (354, 422), (365, 626) 
114: (125, 406), (104, 563), (354, 422), (375, 626) 
115: (125, 391), (104, 563), (365, 422), (375, 626) 
116: (125, 406), (104, 563), (365, 422), (375, 626) 
117: (125, 406), (104, 563), (365, 422), (375, 626) 
118: (125, 406), (104, 563), (365, 422), (375, 641) 
119: (135, 406), (114, 563), (365, 406), (386, 641) 
120: (135, 406), (114, 563), (365, 422), (386, 641) 
121: (135, 406), (114, 563), (365, 422), (386, 641) 
122: (135, 406), (114, 563), (365, 406), (386, 641) 
123: (135, 406), (114, 563), (375, 422), (386, 641) 
124: (135, 406), (114, 563), (375, 422), (386, 641) 
125: (135, 406), (114, 563), (375, 422), (386, 641) 
126: (135, 406), (114, 563), (375, 422), (386, 641) 
127: (135, 406), (114, 563), (365, 406), (386, 641) 
128: (125, 406), (114, 563), (365, 406), (386, 641) 
129: (125, 406), (114, 563), (365, 406), (386, 641) 
130: (125, 406), (104, 563), (365, 422), (375, 641) 
131: (125, 406), (104, 563), (354, 406), (375, 641) 
132: (114, 406), (104, 563), (354, 406), (375, 641) 
133: (114, 406), (104, 563), (354, 406), (365, 641) 
134: (114, 406), (93, 563), (344, 406), (365, 626) 
